download_url,hypeness,pct_muted,pog_tag,sad_tag,timestamp,vod_id,funny_tag,game,length,stream_tag,url,highlights_voddatum,liked,done,disliked
https://hypelab-highlight-downloads.s3.amazonaws.com/highdistortion/733961959/29167.mp4,8.59,0.0,0.39,0.23,29167,733961959,0.14,Crusader Kings III,127,-0.01,https://www.twitch.tv/videos/733961959?t=8h06m07s,{'highlights_channel': {'twitch_name': 'highdistortion'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Scrub/734080945/14149.mp4,12.79,0.0,0.03,-0.14,14149,734080945,1.36,Rocket League,84,-0.09,https://www.twitch.tv/videos/734080945?t=3h55m49s,{'highlights_channel': {'twitch_name': 'Scrub'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Scrub/734080945/14255.mp4,5.3,0.0,-0.12,-0.01,14255,734080945,0.9,Rocket League,90,-0.12,https://www.twitch.tv/videos/734080945?t=3h57m35s,{'highlights_channel': {'twitch_name': 'Scrub'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/teepee/734084727/28544.mp4,9.69,0.0,0.11,-0.05,28544,734084727,1.06,Call of Duty: Modern Warfare,103,-0.16,https://www.twitch.tv/videos/734084727?t=7h55m44s,{'highlights_channel': {'twitch_name': 'teepee'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/2095.mp4,8.08,0.0,0.46,-0.11,2095,734149980,0.11,Fall Guys,140,-0.14,https://www.twitch.tv/videos/734149980?t=0h34m55s,{'highlights_channel': {'twitch_name': '72hrs'}},True,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/7185.mp4,7.03,0.0,0.23,0.02,7185,734149980,0.43,Fall Guys,95,-0.13,https://www.twitch.tv/videos/734149980?t=1h59m45s,{'highlights_channel': {'twitch_name': '72hrs'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/7879.mp4,9.73,0.0,-0.01,-0.05,7879,734149980,0.72,Fall Guys,86,-0.16,https://www.twitch.tv/videos/734149980?t=2h11m19s,{'highlights_channel': {'twitch_name': '72hrs'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/8017.mp4,13.7,0.0,0.31,-0.13,8017,734149980,0.24,Fall Guys,105,-0.14,https://www.twitch.tv/videos/734149980?t=2h13m37s,{'highlights_channel': {'twitch_name': '72hrs'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/10527.mp4,6.82,0.0,-0.16,0.01,10527,734149980,0.82,Fall Guys,91,-0.12,https://www.twitch.tv/videos/734149980?t=2h55m27s,{'highlights_channel': {'twitch_name': '72hrs'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/12394.mp4,7.92,0.0,0.05,-0.14,12394,734149980,0.36,Fall Guys,86,-0.12,https://www.twitch.tv/videos/734149980?t=3h26m34s,{'highlights_channel': {'twitch_name': '72hrs'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/72hrs/734149980/19589.mp4,11.26,0.0,-0.17,0.05,19589,734149980,0.03,Fall Guys,97,-0.13,https://www.twitch.tv/videos/734149980?t=5h26m29s,{'highlights_channel': {'twitch_name': '72hrs'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/jzryoutube/734152320/5755.mp4,10.32,0.0,0.07,0.53,5755,734152320,0.37,Rocket League,90,-0.14,https://www.twitch.tv/videos/734152320?t=1h35m55s,{'highlights_channel': {'twitch_name': 'jzryoutube'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/jzryoutube/734152320/7184.mp4,8.47,0.0,0.02,-0.02,7184,734152320,0.24,Rocket League,79,-0.14,https://www.twitch.tv/videos/734152320?t=1h59m44s,{'highlights_channel': {'twitch_name': 'jzryoutube'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/mew2king/734297975/3382.mp4,7.22,0.0,0.08,-0.12,3382,734297975,0.62,Super Smash Bros. Melee,78,-0.16,https://www.twitch.tv/videos/734297975?t=0h56m22s,{'highlights_channel': {'twitch_name': 'mew2king'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734462011/3060.mp4,8.9,0.0454545454545455,-0.16,0.01,3060,734462011,0.55,Fortnite,89,-0.08,https://www.twitch.tv/videos/734462011?t=0h51m00s,{'highlights_channel': {'twitch_name': 'chap'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/hungrybox/734509535/17704.mp4,11.01,0.0,0.07,0.18,17704,734509535,0.36,Super Smash Bros. Ultimate,95,-0.06,https://www.twitch.tv/videos/734509535?t=4h55m04s,{'highlights_channel': {'twitch_name': 'hungrybox'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/ssbmginger/734515241/12860.mp4,7.7,0.0,-0.2,-0.17,12860,734515241,0.97,Super Smash Bros. Melee,91,-0.13,https://www.twitch.tv/videos/734515241?t=3h34m20s,{'highlights_channel': {'twitch_name': 'ssbmginger'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/zainssbm/734599846/3048.mp4,5.26,0.0,-0.21,-0.15,3048,734599846,0.76,Super Smash Bros. Melee,92,0.09,https://www.twitch.tv/videos/734599846?t=0h50m48s,{'highlights_channel': {'twitch_name': 'zainssbm'}},True,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/mang0/734634839/13455.mp4,5.1,0.0,0.02,-0.11,13455,734634839,0.89,I Wanna Be The Boshy,73,-0.17,https://www.twitch.tv/videos/734634839?t=3h44m15s,{'highlights_channel': {'twitch_name': 'mang0'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/mang0/734634839/17984.mp4,9.44,0.0,-0.18,0.97,17984,734634839,-0.3,I Wanna Be The Boshy,82,-0.14,https://www.twitch.tv/videos/734634839?t=4h59m44s,{'highlights_channel': {'twitch_name': 'mang0'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/mang0/734634839/23712.mp4,9.26,0.0,-0.15,0.51,23712,734634839,-0.3,I Wanna Be The Boshy,91,-0.17,https://www.twitch.tv/videos/734634839?t=6h35m12s,{'highlights_channel': {'twitch_name': 'mang0'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/mang0/734634839/26506.mp4,14.03,0.0,-0.09,-0.01,26506,734634839,-0.15,I Wanna Be The Boshy,111,0.24,https://www.twitch.tv/videos/734634839?t=7h21m46s,{'highlights_channel': {'twitch_name': 'mang0'}},True,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/barstoolsports/734642382/8166.mp4,7.69,0.0,0.49,0.16,8166,734642382,0.46,Call of Duty: Modern Warfare,94,-0.16,https://www.twitch.tv/videos/734642382?t=2h16m06s,{'highlights_channel': {'twitch_name': 'barstoolsports'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/gummick/734658719/3012.mp4,5.66,0.0,-0.19,-0.16,3012,734658719,1.15,Rocket League,75,-0.1,https://www.twitch.tv/videos/734658719?t=0h50m12s,{'highlights_channel': {'twitch_name': 'gummick'}},True,False,False
